id,dimension,name,weight,pass_rule,scope
DA01,CAD与数字装配,实体健康,6,独立重建全部12种零件有效单实体正体积,几何
DA02,CAD与数字装配,制造网格,4,全部网格闭合正体积单正向外壳且落台误差小于0.001mm,网格不代替真实打印
DA03,CAD与数字装配,导出一致性,5,每件STEP体积误差小于0.1%且STL小于1.5%,同内核导出回读
DA04,CAD与数字装配,物料闭环,5,打印件BOM数量文件一致且电机8台有原始供应商CAD,数字BOM
DA05,CAD与数字装配,接口几何与工具孔,5,四种叉架及C01的horn孔位通孔支承环和中心工具孔及C02安装孔通过BREP探针,仅名义接口不包含完整工具插入路径
DA06,CAD与数字装配,打印包络,5,全部零件在220x220x250mm预登记平台内且推荐朝向落台,单件包络不代替切片支撑检验
DB01,运动与任务,运动模型契约,5,8pitch关节轴顺序限位质量惯量满足契约且自由基座,数字模型一致性
DB02,运动与任务,腾足前荡,6,同v0.1的0.5s及10mm及落稳任务门槛,单次有限动作
DB03,运动与任务,抬手挥动,6,同v0.1的50mm及1s及0.1rad及落稳门槛,矢状面挥动
DB04,运动与任务,参考与实际CAD碰撞,5,独立重跑三份所有记录帧的CAD碰撞检查通过,离散帧不代表连续扫掠
DB05,运动与任务,仿真跟踪,5,两动作最大关节误差不超过5deg且root误差不超过5mm,名义未标定伺服
DB06,运动与任务,驱动约束,4,2ms峰值不超过0.100001Nm且饱和比例不超过0.1%且限位支撑不超过0.001Nm,不代表连续热额定
DB07,运动与任务,公开扰动成功率,4,冻结控制器后100组200次仿真联合成功至少90组,公开开发集不是隐藏泛化或实机概率
DC01,工程数字初筛,局部结构余量,6,重算20例规定截面且假设许用8MPa下最小余量至少1,局部理想截面不代表全机FEA或寿命
DC02,工程数字初筛,质量预算一致性,5,逐link及逐物料质量闭环并且CAD与URDF及两实际仿真总质量误差不超过1e-8kg,估重不代表称重
DC03,工程数字初筛,螺钉长度链,5,实测CAD夹持厚度使horn进入深度大于0且不超过3mm及机壳前后侧有正咬合且未触底,名义长度不代表塑料保持力
DC04,工程数字初筛,实际轨迹限位裕量,4,两动作每轴实际角度距上下限均至少1deg,不代表机械挡块或线束安全
DD01,复现与审计,独立完整重建,6,冻结源码在新环境完成CAD规划仿真碰撞和结构检查且无阶段错误且体积及动作相对基线满足预登记复现容差,全过程数字证据
DD02,复现与审计,本次版本绑定,5,重建前输入manifest和生成后输出manifest均经逐文件SHA256复核且评测输入版本一致,证明本次验证追溯不倒推历史AI身份
DD03,复现与审计,结果与边界披露,4,所有20项输出PASS或FAIL及失败类型且历史文档显式标记并记录接触伺服硬件边界,缺少证据判验收失败而非虚构实机失败
