item_id,category,description,quantity,unit,included_quantity,extra_purchase_quantity,note,source
P01_torso_frame,print,PETG P01_torso_frame,1,each,0,0,Print at 100% scale; coupon excluded from assembled robot,output/parts/stl/P01_torso_frame.stl
P02_upper_arm,print,PETG P02_upper_arm,2,each,0,0,Print at 100% scale; coupon excluded from assembled robot,output/parts/stl/P02_upper_arm.stl
P03_forearm_hand,print,PETG P03_forearm_hand,2,each,0,0,Print at 100% scale; coupon excluded from assembled robot,output/parts/stl/P03_forearm_hand.stl
P04_thigh,print,PETG P04_thigh,2,each,0,0,Print at 100% scale; coupon excluded from assembled robot,output/parts/stl/P04_thigh.stl
P05_shin_foot,print,PETG P05_shin_foot,2,each,0,0,Print at 100% scale; coupon excluded from assembled robot,output/parts/stl/P05_shin_foot.stl
P06_palm_pad,print,TPU P06_palm_pad,2,each,0,0,Print at 100% scale; coupon excluded from assembled robot,output/parts/stl/P06_palm_pad.stl
P07_foot_pad,print,TPU P07_foot_pad,2,each,0,0,Print at 100% scale; coupon excluded from assembled robot,output/parts/stl/P07_foot_pad.stl
P08_chest_shell,print,PETG P08_chest_shell,1,each,0,0,Print at 100% scale; coupon excluded from assembled robot,output/parts/stl/P08_chest_shell.stl
P09_head_shell,print,PETG P09_head_shell,1,each,0,0,Print at 100% scale; coupon excluded from assembled robot,output/parts/stl/P09_head_shell.stl
P10_eye_insert,print,PETG P10_eye_insert,2,each,0,0,Print at 100% scale; coupon excluded from assembled robot,output/parts/stl/P10_eye_insert.stl
C01_horn_fit_coupon,print_coupon,PETG C01_horn_fit_coupon,1,each,0,0,Print at 100% scale; coupon excluded from assembled robot,output/parts/stl/C01_horn_fit_coupon.stl
C02_body_fit_coupon,print_coupon,PETG C02_body_fit_coupon,1,each,0,0,Print at 100% scale; coupon excluded from assembled robot,output/parts/stl/C02_body_fit_coupon.stl
A01,actuator,ROBOTIS XL330-M288-T,8,each,0,8,SKU 902-0163-000; stock plastic output horn; 5 V,https://en.robotis.com/shop_en/item.php?it_id=902-0163-000
A02,idler_kit,FPX330-H101 4PCS SET,2,kit,0,2,SKU 903-0302-000; each kit includes 4 idlers and 4 caps; use 8 idlers total,https://en.robotis.com/shop_en/item.php?it_id=903-0302-000
F01,fastener,ROBOTIS-compatible PHS ST2x8 TAP,96,each,80,16,64 horn screws through 5.5 mm grip; 32 case screws through 2 mm grip; purchase 16 extra; not machine-thread M2,
F02,fastener,Idler kit M2.6x6 TAP center screws,8,each,8,0,2 kits provide 16 total; use 8 and retain 8 spares; retain stock output center screw,
F03,fastener,M2x20 pan-head machine screw,8,each,0,8,4 screws in rigid front palms do not clamp TPU; 4 screws mechanically clamp rear foot pads; heads and washers must fit D5.2 recess,
F04,fastener,M2x16 pan-head machine screw,4,each,0,4,Chest; head seat x=23 to rear nut pocket x=8..10.2; D5 head recess,
F05,fastener,M2x10 pan-head machine screw,2,each,0,2,Head; insert upward from torso deck bottom z=3,
F06,fastener,M2 ordinary hex nut AF4.0 x about 1.6 mm,14,each,14,0,4 rigid palms + 4 rear pads + 4 chest + 2 head; two FPX330 kits provide 40 total; print AF4.1 pockets; no nyloc,
F07,fastener,M2 thin flat washer OD about 5 mm x 0.3 mm,8,each,0,8,Front washers seat on PETG and do not clamp TPU; rear washers seat on TPU; verify actual dimensions fit D5.2 recess,
E01,cable,ROBOTIS X3P 180 mm JST-JST cable,8,each,8,0,4 proximal branches + 4 inter-joint cables; included one per motor,
E02,communication,ROBOTIS U2D2 TTL USB interface,1,each,0,1,SKU 902-0132-000; on workbench; motor power separately distributed,https://emanual.robotis.com/docs/en/parts/interface/u2d2/
E03,power,Regulated 5.0 V 15 A external DC supply with current limiting,1,each,0,1,Workbench supply; no onboard battery; confirm motor-side voltage under load,
E04,distribution,Four separately protected motor power branches plus common TTL DATA/GND,1,assembly,0,1,Each branch at most 2 servos; JST EH rating 3 A; do not route total motor current through controller,
E05,protection,DC-rated emergency power disconnect and main fuse holder,1,set,0,1,Main wiring/switch/distribution rated at least 15 A; select fuse to purchased wiring and time-current curve,
E06,protection,Branch fuse and holder,4,set,0,4,Initial 2 A branch fuse; final fuse curve must protect 3 A EH path; verify nuisance trips without increasing blindly,
E07,cable,External DC tether and independent branch harness with matching EH headers,1,assembly,0,1,Main cable rated for chosen main protection; each branch ≤3 A; include strain relief; purchase ready crimped harness,
E08,cable,USB cable matching PC and U2D2,1,each,0,1,Communication only; motor current does not come from USB,
C01_consumable,consumable,Small cable ties or straps fitting 2.6 mm tie slots,1,pack,0,1,Frame strain relief and controller/distribution retention; no pinched loops,
C02_consumable,consumable,PETG-compatible adhesive for eye inserts,1,small amount,0,1,D10 insert into D10.2 bore is clearance fit; keep adhesive away from actuator and joints,
C03_consumable,consumable,Flexible adhesive specified for purchased TPU and PETG,1,small pack,0,1,Full-face bond for 2 flat front soles; mandatory same-material adhesion coupon and complete cure; keep D5.2 service holes open; not a validated adhesive product,docs/manufacturing.md
